-161.997032696	66.1301489091
-161.583557218	65.4609996608
-161.594751563	64.4595485027
-164.00670783	64.1382452822
-167.319233818	64.7968111678
-168.783882383	65.8131154249
-167.135014194	67.1671216618
-166.862530264	68.2880442459
-166.91199836	68.3254831839
-164.213237935	70.0600844164
-157.514674372	71.5942515882
-154.463491036	71.3648084491
-147.564468635	70.4423802901
-142.716271395	70.4033757746
-141.030654908	69.7940346181
-141.921848269	69.5187855053
-143.828758903	69.4140801121
-145.939006194	69.309891419
-148.465056329	69.1399236266
-148.770373578	68.5911826176
-148.417368883	68.4827984851
-146.175305025	68.3366662078
-146.067973426	68.3189825165
-145.419710274	67.8217986191
-147.274722576	67.9230530219
-150.306405216	67.6406132009
-153.878800975	67.4496024271
-154.040448373	67.4592084153
-157.276714662	67.5282037729
-157.444068101	67.5348592101
-159.876357211	67.5455003342
-162.062908871	66.9902609288
-162.277241311	66.2621595155
