-140.125758943	62.0316199187
-140.201272177	62.4285696689
-141.156374019	62.6132563315
-141.742037486	62.67971392
-141.249347296	62.9459538982
-140.550732889	62.9554481474
-140.534700528	63.2400423145
-141.235021019	63.3727608135
-142.046515788	63.5811627807
-142.475391452	63.8971987507
-142.514794637	64.3562699988
-141.996278385	64.8012190987
-141.696204929	64.8646205811
-139.728941364	64.3231196038
-136.813863189	63.3572326072
-136.850606421	62.5776097287
-137.558771475	62.9848619002
-138.54340785	63.2991049782
-139.126484037	63.4870745237
-139.304178861	63.1575861672
-138.820598434	62.7504790337
-137.926742579	61.915352759
-137.086011677	61.3743558925
-137.023775782	61.3398571546
-137.060172632	61.1014407146
-137.543200527	61.2321260473
-138.317179078	61.7842428306
-138.896495752	62.3873793559
-139.421704685	62.6685346173
-139.979654943	62.1717518062
